run_id,benchmark,track,target_id,rank_eligible,prediction_path,reference_path,metric,score,gdt_ts_norm,tm_score,qsglob,dockq,status,message
server_eval_opendde_v1_full_msa_template_bf16_h1220_t1220s1,casp16_server_protein_v1,protein_domain,T0206,true,,/scratch/10992/liaorunlong93/casp16-leaderboard/data/official/references/mmcif/9cp0.cif,,0.000000,,,,,missing_prediction,no_prediction_file
server_eval_opendde_v1_full_msa_template_bf16_h1220_t1220s1,casp16_server_protein_v1,protein_domain,T0218,true,,,,0.000000,,,,,missing_prediction,no_prediction_file
server_eval_opendde_v1_full_msa_template_bf16_h1220_t1220s1,casp16_server_protein_v1,protein_domain,T0234,true,,/scratch/10992/liaorunlong93/casp16-leaderboard/data/official/references/mmcif/8qpq.cif,,0.000000,,,,,missing_prediction,no_prediction_file
server_eval_opendde_v1_full_msa_template_bf16_h1220_t1220s1,casp16_server_protein_v1,protein_domain,T0235,true,,/scratch/10992/liaorunlong93/casp16-leaderboard/data/official/references/mmcif/8qpq.cif,,0.000000,,,,,missing_prediction,no_prediction_file
server_eval_opendde_v1_full_msa_template_bf16_h1220_t1220s1,casp16_server_protein_v1,protein_domain,T0237,true,,,,0.000000,,,,,missing_prediction,no_prediction_file
server_eval_opendde_v1_full_msa_template_bf16_h1220_t1220s1,casp16_server_protein_v1,protein_domain,T0240,true,,,,0.000000,,,,,missing_prediction,no_prediction_file
server_eval_opendde_v1_full_msa_template_bf16_h1220_t1220s1,casp16_server_protein_v1,protein_domain,T0246,true,,,,0.000000,,,,,missing_prediction,no_prediction_file
server_eval_opendde_v1_full_msa_template_bf16_h1220_t1220s1,casp16_server_protein_v1,protein_domain,T0257,true,,,,0.000000,,,,,missing_prediction,no_prediction_file
server_eval_opendde_v1_full_msa_template_bf16_h1220_t1220s1,casp16_server_protein_v1,protein_domain,T0259,true,,,,0.000000,,,,,missing_prediction,no_prediction_file
server_eval_opendde_v1_full_msa_template_bf16_h1220_t1220s1,casp16_server_protein_v1,protein_domain,T0270,true,,,,0.000000,,,,,missing_prediction,no_prediction_file
server_eval_opendde_v1_full_msa_template_bf16_h1220_t1220s1,casp16_server_protein_v1,protein_domain,T1201,true,/scratch/10992/liaorunlong93/casp16-leaderboard/runs/opendde_v1_full_msa_template_bf16_directrelp_torchtrimul_h1220_t1220s1_corrected_protein_skipconf/predictions/opendde_v1/T1201/seed_101/predictions/T1201_sample_0.cif,/scratch/10992/liaorunlong93/casp16-leaderboard/data/official/references/mmcif/8bwd.cif,GDT_TS_norm,0.100600,0.100600,0.139800,,,ok,
server_eval_opendde_v1_full_msa_template_bf16_h1220_t1220s1,casp16_server_protein_v1,protein_domain,T1206,true,/scratch/10992/liaorunlong93/casp16-leaderboard/runs/opendde_v1_full_msa_template_bf16_directrelp_torchtrimul_h1220_t1220s1_corrected_protein_skipconf/predictions/opendde_v1/T1206/seed_101/predictions/T1206_sample_0.cif,/scratch/10992/liaorunlong93/casp16-leaderboard/data/official/references/mmcif/9cp0.cif,GDT_TS_norm,0.000000,0.000000,0.000000,,,ok,
server_eval_opendde_v1_full_msa_template_bf16_h1220_t1220s1,casp16_server_protein_v1,protein_domain,T1207,true,,,,0.000000,,,,,missing_prediction,no_prediction_file
server_eval_opendde_v1_full_msa_template_bf16_h1220_t1220s1,casp16_server_protein_v1,protein_domain,T1210,true,/scratch/10992/liaorunlong93/casp16-leaderboard/runs/opendde_v1_full_msa_template_bf16_directrelp_torchtrimul_h1220_t1220s1_corrected_protein_skipconf/predictions/opendde_v1/T1210/seed_101/predictions/T1210_sample_0.cif,/scratch/10992/liaorunlong93/casp16-leaderboard/data/official/references/mmcif/9enr.cif,GDT_TS_norm,0.011300,0.011300,0.139900,,,ok,
