target_id	run_id	seed	prediction_path	candidate_ref	reference_path	status	gdt_ts_norm	tm_score	message
T1228V1	server_protenix_full_msa_template_seed101	seed_101	runs/server_protenix_full_msa_template_seed101/predictions/protenix-v2/T1228V1/seed_101/predictions/T1228V1_sample_0.cif	9DXH	https://files.rcsb.org/download/9DXH.cif	ok	0.011700	0.021400	
T1228V1	server_protenix_full_msa_template_seed101	seed_101	runs/server_protenix_full_msa_template_seed101/predictions/protenix-v2/T1228V1/seed_101/predictions/T1228V1_sample_0.cif	9DXJ	https://files.rcsb.org/download/9DXJ.cif	ok	0.011700	0.021300	
T1228V1	server_protenix_full_msa_template_seed101	seed_101	runs/server_protenix_full_msa_template_seed101/predictions/protenix-v2/T1228V1/seed_101/predictions/T1228V1_sample_0.cif	9DXK	https://files.rcsb.org/download/9DXK.cif	ok	0.011700	0.021600	
T1228V1	server_protenix_full_msa_template_seed101	seed_101	runs/server_protenix_full_msa_template_seed101/predictions/protenix-v2/T1228V1/seed_101/predictions/T1228V1_sample_0.cif	9Y66	https://files.rcsb.org/download/9Y66.cif	ok	0.012100	0.021300	
T1228V1	server_protenix_yang_terminal_tag_cleanup_seed101	seed_101	runs/server_protenix_yang_terminal_tag_cleanup_seed101/predictions/protenix-v2/T1228V1/seed_101/predictions/T1228V1_sample_0.cif	9DXH	https://files.rcsb.org/download/9DXH.cif	ok	0.010300	0.019300	
T1228V1	server_protenix_yang_terminal_tag_cleanup_seed101	seed_101	runs/server_protenix_yang_terminal_tag_cleanup_seed101/predictions/protenix-v2/T1228V1/seed_101/predictions/T1228V1_sample_0.cif	9DXJ	https://files.rcsb.org/download/9DXJ.cif	ok	0.010300	0.019300	
T1228V1	server_protenix_yang_terminal_tag_cleanup_seed101	seed_101	runs/server_protenix_yang_terminal_tag_cleanup_seed101/predictions/protenix-v2/T1228V1/seed_101/predictions/T1228V1_sample_0.cif	9DXK	https://files.rcsb.org/download/9DXK.cif	ok	0.010700	0.019400	
T1228V1	server_protenix_yang_terminal_tag_cleanup_seed101	seed_101	runs/server_protenix_yang_terminal_tag_cleanup_seed101/predictions/protenix-v2/T1228V1/seed_101/predictions/T1228V1_sample_0.cif	9Y66	https://files.rcsb.org/download/9Y66.cif	ok	0.010300	0.019300	
T1228V1	server_attack_protenix_terminal_tag_seed101_105	seed_101	runs/server_attack_protenix_terminal_tag_seed101_105/predictions/protenix-v2/T1228V1/seed_101/predictions/T1228V1_sample_0.cif	9DXH	https://files.rcsb.org/download/9DXH.cif	ok	0.010300	0.019300	
T1228V1	server_attack_protenix_terminal_tag_seed101_105	seed_101	runs/server_attack_protenix_terminal_tag_seed101_105/predictions/protenix-v2/T1228V1/seed_101/predictions/T1228V1_sample_0.cif	9DXJ	https://files.rcsb.org/download/9DXJ.cif	ok	0.010300	0.019300	
T1228V1	server_attack_protenix_terminal_tag_seed101_105	seed_101	runs/server_attack_protenix_terminal_tag_seed101_105/predictions/protenix-v2/T1228V1/seed_101/predictions/T1228V1_sample_0.cif	9DXK	https://files.rcsb.org/download/9DXK.cif	ok	0.010700	0.019400	
T1228V1	server_attack_protenix_terminal_tag_seed101_105	seed_101	runs/server_attack_protenix_terminal_tag_seed101_105/predictions/protenix-v2/T1228V1/seed_101/predictions/T1228V1_sample_0.cif	9Y66	https://files.rcsb.org/download/9Y66.cif	ok	0.010300	0.019300	
T1228V1	server_attack_protenix_terminal_tag_seed101_105	seed_102	runs/server_attack_protenix_terminal_tag_seed101_105/predictions/protenix-v2/T1228V1/seed_102/predictions/T1228V1_sample_0.cif	9DXH	https://files.rcsb.org/download/9DXH.cif	ok	0.010300	0.019000	
T1228V1	server_attack_protenix_terminal_tag_seed101_105	seed_102	runs/server_attack_protenix_terminal_tag_seed101_105/predictions/protenix-v2/T1228V1/seed_102/predictions/T1228V1_sample_0.cif	9DXJ	https://files.rcsb.org/download/9DXJ.cif	ok	0.010700	0.019000	
T1228V1	server_attack_protenix_terminal_tag_seed101_105	seed_102	runs/server_attack_protenix_terminal_tag_seed101_105/predictions/protenix-v2/T1228V1/seed_102/predictions/T1228V1_sample_0.cif	9DXK	https://files.rcsb.org/download/9DXK.cif	ok	0.010300	0.019200	
T1228V1	server_attack_protenix_terminal_tag_seed101_105	seed_102	runs/server_attack_protenix_terminal_tag_seed101_105/predictions/protenix-v2/T1228V1/seed_102/predictions/T1228V1_sample_0.cif	9Y66	https://files.rcsb.org/download/9Y66.cif	ok	0.010300	0.019000	
T1228V1	server_attack_protenix_terminal_tag_seed101_105	seed_103	runs/server_attack_protenix_terminal_tag_seed101_105/predictions/protenix-v2/T1228V1/seed_103/predictions/T1228V1_sample_0.cif	9DXH	https://files.rcsb.org/download/9DXH.cif	ok	0.010700	0.018900	
T1228V1	server_attack_protenix_terminal_tag_seed101_105	seed_103	runs/server_attack_protenix_terminal_tag_seed101_105/predictions/protenix-v2/T1228V1/seed_103/predictions/T1228V1_sample_0.cif	9DXJ	https://files.rcsb.org/download/9DXJ.cif	ok	0.010700	0.018900	
T1228V1	server_attack_protenix_terminal_tag_seed101_105	seed_103	runs/server_attack_protenix_terminal_tag_seed101_105/predictions/protenix-v2/T1228V1/seed_103/predictions/T1228V1_sample_0.cif	9DXK	https://files.rcsb.org/download/9DXK.cif	ok	0.009800	0.019000	
T1228V1	server_attack_protenix_terminal_tag_seed101_105	seed_103	runs/server_attack_protenix_terminal_tag_seed101_105/predictions/protenix-v2/T1228V1/seed_103/predictions/T1228V1_sample_0.cif	9Y66	https://files.rcsb.org/download/9Y66.cif	ok	0.010700	0.018900	
T1228V1	server_attack_protenix_terminal_tag_seed101_105	seed_104	runs/server_attack_protenix_terminal_tag_seed101_105/predictions/protenix-v2/T1228V1/seed_104/predictions/T1228V1_sample_0.cif	9DXH	https://files.rcsb.org/download/9DXH.cif	ok	0.009800	0.017800	
T1228V1	server_attack_protenix_terminal_tag_seed101_105	seed_104	runs/server_attack_protenix_terminal_tag_seed101_105/predictions/protenix-v2/T1228V1/seed_104/predictions/T1228V1_sample_0.cif	9DXJ	https://files.rcsb.org/download/9DXJ.cif	ok	0.010300	0.017900	
T1228V1	server_attack_protenix_terminal_tag_seed101_105	seed_104	runs/server_attack_protenix_terminal_tag_seed101_105/predictions/protenix-v2/T1228V1/seed_104/predictions/T1228V1_sample_0.cif	9DXK	https://files.rcsb.org/download/9DXK.cif	ok	0.009300	0.018100	
T1228V1	server_attack_protenix_terminal_tag_seed101_105	seed_104	runs/server_attack_protenix_terminal_tag_seed101_105/predictions/protenix-v2/T1228V1/seed_104/predictions/T1228V1_sample_0.cif	9Y66	https://files.rcsb.org/download/9Y66.cif	ok	0.010300	0.018000	
T1228V1	server_v2_protenix_yang_oligo_sequence_stoich_low_complexity_large_fallback_seed101	seed_101	runs/server_v2_protenix_yang_oligo_sequence_stoich_low_complexity_large_fallback_seed101/predictions/protenix-v2/T1228V1/seed_101/predictions/T1228V1_sample_0.cif	9DXH	https://files.rcsb.org/download/9DXH.cif	ok	0.010300	0.019300	
T1228V1	server_v2_protenix_yang_oligo_sequence_stoich_low_complexity_large_fallback_seed101	seed_101	runs/server_v2_protenix_yang_oligo_sequence_stoich_low_complexity_large_fallback_seed101/predictions/protenix-v2/T1228V1/seed_101/predictions/T1228V1_sample_0.cif	9DXJ	https://files.rcsb.org/download/9DXJ.cif	ok	0.010300	0.019300	
T1228V1	server_v2_protenix_yang_oligo_sequence_stoich_low_complexity_large_fallback_seed101	seed_101	runs/server_v2_protenix_yang_oligo_sequence_stoich_low_complexity_large_fallback_seed101/predictions/protenix-v2/T1228V1/seed_101/predictions/T1228V1_sample_0.cif	9DXK	https://files.rcsb.org/download/9DXK.cif	ok	0.011200	0.019500	
