run_id,benchmark,track,target_id,rank_eligible,selected_model_policy,budget_tier,candidate_count,observed_candidate_count,prediction_path,prediction_match_type,prediction_match_alias,confidence_path,selection_score,reference_path,metric,score,gdt_ts_norm,tm_score,qsglob,dockq,status,message
server_v2_scoreable_attack_seed101_partial_diagnostic_20260707,casp16_server_protein_v2_aliasfix,protein_domain,T0206,true,first_output_only,diagnostic,1,1,/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_v2_attack_scoreable_oligo_recovery_msa_reuse_protenix5_seed101_105/predictions/protenix-v2/T0206/seed_101/predictions/T0206_sample_0.cif,exact,T0206,,,/scratch/10992/liaorunlong93/casp16-leaderboard/data/official/references/mmcif/9cp0.cif,GDT_TS_norm,0.000000,0.000000,0.000000,,,ok,
server_v2_scoreable_attack_seed101_partial_diagnostic_20260707,casp16_server_protein_v2_aliasfix,protein_domain,T0218,true,first_output_only,diagnostic,1,0,,,,,,,,0.000000,,,,,missing_prediction,no_prediction_file
server_v2_scoreable_attack_seed101_partial_diagnostic_20260707,casp16_server_protein_v2_aliasfix,protein_domain,T0234,true,first_output_only,diagnostic,1,1,/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_v2_attack_scoreable_oligo_recovery_msa_reuse_protenix5_seed101_105/predictions/protenix-v2/T0234/seed_101/predictions/T0234_sample_0.cif,exact,T0234,,,/scratch/10992/liaorunlong93/casp16-leaderboard/data/official/references/mmcif/8qpq.cif,GDT_TS_norm,0.659600,0.659600,0.784800,,,ok,
server_v2_scoreable_attack_seed101_partial_diagnostic_20260707,casp16_server_protein_v2_aliasfix,protein_domain,T0235,true,first_output_only,diagnostic,1,1,/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_v2_attack_scoreable_oligo_recovery_msa_reuse_protenix5_seed101_105/predictions/protenix-v2/T0235/seed_101/predictions/T0235_sample_0.cif,exact,T0235,,,/scratch/10992/liaorunlong93/casp16-leaderboard/data/official/references/mmcif/8qpq.cif,GDT_TS_norm,0.032200,0.032200,0.056400,,,ok,
server_v2_scoreable_attack_seed101_partial_diagnostic_20260707,casp16_server_protein_v2_aliasfix,protein_domain,T0237,true,first_output_only,diagnostic,1,0,,,,,,,,0.000000,,,,,missing_prediction,no_prediction_file
server_v2_scoreable_attack_seed101_partial_diagnostic_20260707,casp16_server_protein_v2_aliasfix,protein_domain,T0240,true,first_output_only,diagnostic,1,0,,,,,,,,0.000000,,,,,missing_prediction,no_prediction_file
server_v2_scoreable_attack_seed101_partial_diagnostic_20260707,casp16_server_protein_v2_aliasfix,protein_domain,T0246,true,first_output_only,diagnostic,1,0,,,,,,,,0.000000,,,,,missing_prediction,no_prediction_file
server_v2_scoreable_attack_seed101_partial_diagnostic_20260707,casp16_server_protein_v2_aliasfix,protein_domain,T0257,true,first_output_only,diagnostic,1,0,,,,,,,,0.000000,,,,,missing_prediction,no_prediction_file
server_v2_scoreable_attack_seed101_partial_diagnostic_20260707,casp16_server_protein_v2_aliasfix,protein_domain,T0259,true,first_output_only,diagnostic,1,0,,,,,,,,0.000000,,,,,missing_prediction,no_prediction_file
server_v2_scoreable_attack_seed101_partial_diagnostic_20260707,casp16_server_protein_v2_aliasfix,protein_domain,T0270,true,first_output_only,diagnostic,1,0,,,,,,,,0.000000,,,,,missing_prediction,no_prediction_file
server_v2_scoreable_attack_seed101_partial_diagnostic_20260707,casp16_server_protein_v2_aliasfix,protein_domain,T1201,true,first_output_only,diagnostic,1,1,/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_v2_attack_scoreable_oligo_recovery_msa_reuse_protenix5_seed101_105/predictions/protenix-v2/T1201/seed_101/predictions/T1201_sample_0.cif,exact,T1201,,,/scratch/10992/liaorunlong93/casp16-leaderboard/data/official/references/mmcif/8bwd.cif,GDT_TS_norm,0.103700,0.103700,0.143400,,,ok,
server_v2_scoreable_attack_seed101_partial_diagnostic_20260707,casp16_server_protein_v2_aliasfix,protein_domain,T1206,true,first_output_only,diagnostic,1,1,/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_v2_attack_scoreable_oligo_recovery_msa_reuse_protenix5_seed101_105/predictions/protenix-v2/T1206/seed_101/predictions/T1206_sample_0.cif,exact,T1206,,,/scratch/10992/liaorunlong93/casp16-leaderboard/data/official/references/mmcif/9cp0.cif,GDT_TS_norm,0.000000,0.000000,0.000000,,,ok,
server_v2_scoreable_attack_seed101_partial_diagnostic_20260707,casp16_server_protein_v2_aliasfix,protein_domain,T1207,true,first_output_only,diagnostic,1,0,,,,,,,,0.000000,,,,,missing_prediction,no_prediction_file
