run_id	benchmark	status	result	message	budget_tier	candidate_count	rank_eligible	use_msa	msa_checked	msa_protein_chains	msa_usable_covered	msa_stale_covered	msa_coverage_fraction	run_dir
server_v2_attack_scoreable_input_repair_size_balanced_shard01_msa_reuse_protenix25_seed106_110	casp16_server_protein_v2_aliasfix	deferred:await_p17_score	ok		server_attack	5	False	true	true	19	19	0	1.0	/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_v2_attack_scoreable_input_repair_size_balanced_shard01_msa_reuse_protenix25_seed106_110
server_v2_attack_scoreable_input_repair_size_balanced_shard01_msa_reuse_protenix25_seed111_115	casp16_server_protein_v2_aliasfix	deferred:await_p17_score	ok		server_attack	5	False	true	true	19	19	0	1.0	/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_v2_attack_scoreable_input_repair_size_balanced_shard01_msa_reuse_protenix25_seed111_115
server_v2_attack_scoreable_input_repair_size_balanced_shard01_msa_reuse_protenix25_seed116_120	casp16_server_protein_v2_aliasfix	deferred:await_p17_score	ok		server_attack	5	False	true	true	19	19	0	1.0	/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_v2_attack_scoreable_input_repair_size_balanced_shard01_msa_reuse_protenix25_seed116_120
server_v2_attack_scoreable_input_repair_size_balanced_shard01_msa_reuse_protenix25_seed121_125	casp16_server_protein_v2_aliasfix	deferred:await_p17_score	ok		server_attack	5	False	true	true	19	19	0	1.0	/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_v2_attack_scoreable_input_repair_size_balanced_shard01_msa_reuse_protenix25_seed121_125
server_v2_attack_scoreable_input_repair_size_balanced_shard02_msa_reuse_protenix25_seed106_110	casp16_server_protein_v2_aliasfix	deferred:await_p17_score	ok		server_attack	5	False	true	true	20	20	0	1.0	/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_v2_attack_scoreable_input_repair_size_balanced_shard02_msa_reuse_protenix25_seed106_110
server_v2_attack_scoreable_input_repair_size_balanced_shard02_msa_reuse_protenix25_seed111_115	casp16_server_protein_v2_aliasfix	deferred:await_p17_score	ok		server_attack	5	False	true	true	20	20	0	1.0	/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_v2_attack_scoreable_input_repair_size_balanced_shard02_msa_reuse_protenix25_seed111_115
server_v2_attack_scoreable_input_repair_size_balanced_shard02_msa_reuse_protenix25_seed116_120	casp16_server_protein_v2_aliasfix	deferred:await_p17_score	ok		server_attack	5	False	true	true	20	20	0	1.0	/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_v2_attack_scoreable_input_repair_size_balanced_shard02_msa_reuse_protenix25_seed116_120
server_v2_attack_scoreable_input_repair_size_balanced_shard02_msa_reuse_protenix25_seed121_125	casp16_server_protein_v2_aliasfix	deferred:await_p17_score	ok		server_attack	5	False	true	true	20	20	0	1.0	/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_v2_attack_scoreable_input_repair_size_balanced_shard02_msa_reuse_protenix25_seed121_125
server_v2_attack_scoreable_input_repair_size_balanced_shard03_msa_reuse_protenix25_seed106_110	casp16_server_protein_v2_aliasfix	deferred:await_p17_score	ok		server_attack	5	False	true	true	24	24	0	1.0	/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_v2_attack_scoreable_input_repair_size_balanced_shard03_msa_reuse_protenix25_seed106_110
server_v2_attack_scoreable_input_repair_size_balanced_shard03_msa_reuse_protenix25_seed111_115	casp16_server_protein_v2_aliasfix	deferred:await_p17_score	ok		server_attack	5	False	true	true	24	24	0	1.0	/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_v2_attack_scoreable_input_repair_size_balanced_shard03_msa_reuse_protenix25_seed111_115
server_v2_attack_scoreable_input_repair_size_balanced_shard03_msa_reuse_protenix25_seed116_120	casp16_server_protein_v2_aliasfix	deferred:await_p17_score	ok		server_attack	5	False	true	true	24	24	0	1.0	/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_v2_attack_scoreable_input_repair_size_balanced_shard03_msa_reuse_protenix25_seed116_120
server_v2_attack_scoreable_input_repair_size_balanced_shard03_msa_reuse_protenix25_seed121_125	casp16_server_protein_v2_aliasfix	deferred:await_p17_score	ok		server_attack	5	False	true	true	24	24	0	1.0	/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_v2_attack_scoreable_input_repair_size_balanced_shard03_msa_reuse_protenix25_seed121_125
